,happiness,gdp,social,life_expectancy,freedom,generosity,perceptions,Stability_co,Rights_co,Health_co,Safety_co,Climate_co,Costs_co,Popularity_co,Housing_city,Cost_city,Startups_city,Venture.Capital_city,Travel_city,Commute_city,Business.Freedom_city,Safety_city,Healthcare_city,Education_city,Environment_city,Economy_city,Taxation_city,Internet_city,Leisure.Culture_city,Tolerance_city,Outdoors_city,suicide
happiness,1,0.725545022,0.770914907,0.719767898,0.515776903,0.275689677,0.601442474,0.731728417,0.732760198,0.643965842,0.395593587,-0.476684566,-0.525289003,0.380143714,-0.582689733,-0.620571378,-0.002448765,0.170233905,0.244281154,0.163021886,0.669041939,0.237022765,0.730334377,0.598456033,0.705815199,0.392897046,-0.043210942,0.460177333,0.081081685,0.582559579,0.022997995,0.227353956
gdp,0.725545022,1,0.626514398,0.759844963,0.1896442,0.090686228,0.526095662,0.738388239,0.802729935,0.826667397,0.586256906,-0.448548246,-0.410908387,0.602768637,-0.530287873,-0.442783629,0.296512751,0.358205287,0.512309097,0.373243995,0.786200891,0.420165976,0.79043698,0.777790232,0.748954151,0.452418617,0.042600123,0.62451891,0.345046535,0.342729474,0.153144569,0.336119495
social,0.770914907,0.626514398,1,0.582361835,0.3039757,0.135457226,0.370310473,0.578287473,0.53080976,0.638949474,0.252677201,-0.479967461,-0.307002542,0.260654518,-0.430760509,-0.474682225,-0.046590411,0.099072539,0.189074155,0.179982657,0.480099639,0.189399067,0.598288796,0.528336978,0.667040894,0.177127289,0.017871559,0.465784502,0.200968237,0.518606503,0.055132036,0.400307849
life_expectancy,0.719767898,0.759844963,0.582361835,1,0.178841694,0.051848266,0.459396696,0.705429233,0.723791782,0.850972409,0.59842915,-0.314803412,-0.555105481,0.461935981,-0.46936861,-0.511788988,0.046353044,0.189327506,0.34690827,0.304453707,0.691349167,0.409792113,0.905180403,0.715963039,0.625256835,0.216866792,-0.07722248,0.456391546,0.328307199,0.564271856,0.107495974,0.196829637
freedom,0.515776903,0.1896442,0.3039757,0.178841694,1,0.405583184,0.517376835,0.517638649,0.358262564,0.003608424,0.236803336,-0.251780901,-0.277144882,0.140938786,-0.427750162,-0.434584754,-0.00602245,0.262773685,-0.014439972,-0.170704037,0.272865847,0.089223007,0.165999545,0.239280289,0.309458675,0.541172687,-0.005523626,0.192032185,-0.237110906,0.263232508,-0.109189219,-0.052418158
generosity,0.275689677,0.090686228,0.135457226,0.051848266,0.405583184,1,0.371779432,0.197798903,0.231958333,-0.063349574,0.293710404,-0.16951964,-0.220963186,0.247418477,-0.436602108,-0.403452449,0.083054781,0.264947102,0.0258831,-0.141347891,0.148033186,0.056093784,0.075661774,0.136018806,0.22457764,0.389394863,0.096386494,0.096365681,-0.247862856,0.00100773,0.097616961,-0.105714658
perceptions,0.601442474,0.526095662,0.370310473,0.459396696,0.517376835,0.371779432,1,0.545028968,0.633904906,0.383189195,0.418671095,-0.449521042,-0.427056532,0.339126182,-0.59649285,-0.502921991,0.101121555,0.33719978,0.319047558,0.140603766,0.633230334,0.369674455,0.421300808,0.557873281,0.601857119,0.574311623,-0.056915327,0.374363363,-0.166547959,0.296078242,0.073187731,0.131639661
Stability_co,0.731728417,0.738388239,0.578287473,0.705429233,0.517638649,0.197798903,0.545028968,1,0.847840068,0.669595624,0.635619159,-0.463155767,-0.466513945,0.375006613,-0.509424038,-0.540856689,0.093519103,0.319646104,0.321257877,0.292872267,0.739090347,0.435512515,0.696692519,0.744145721,0.746015962,0.499858019,0.111042288,0.615978544,0.091445874,0.442948812,0.124757752,0.36066934
Rights_co,0.732760198,0.802729935,0.53080976,0.723791782,0.358262564,0.231958333,0.633904906,0.847840068,1,0.725588549,0.627605014,-0.466823839,-0.607666594,0.467261518,-0.486238535,-0.495541637,0.242199776,0.383785499,0.407700542,0.423669902,0.883357153,0.41131911,0.803745472,0.79554406,0.811213341,0.421772399,-0.067240537,0.628225741,0.110607448,0.463248684,0.162402777,0.342548049
Health_co,0.643965842,0.826667397,0.638949474,0.850972409,0.003608424,-0.063349574,0.383189195,0.669595624,0.725588549,1,0.622333043,-0.46401586,-0.381511293,0.421345121,-0.325475728,-0.378317695,0.07579126,0.158456453,0.514891029,0.446618366,0.717105833,0.524476268,0.825897704,0.728685205,0.724283951,0.143306652,-0.067521661,0.591520078,0.368573809,0.539541027,0.195933688,0.491034611
Safety_co,0.395593587,0.586256906,0.252677201,0.59842915,0.236803336,0.293710404,0.418671095,0.635619159,0.627605014,0.622333043,1,-0.385672709,-0.253631309,0.407068415,-0.280577579,-0.355707796,0.152097757,0.306462861,0.420988696,0.298856231,0.608938828,0.601943702,0.557821019,0.592376607,0.554934411,0.387683626,0.096562975,0.490326408,0.217465785,0.346703732,0.173848822,0.27581547
Climate_co,-0.476684566,-0.448548246,-0.479967461,-0.314803412,-0.251780901,-0.16951964,-0.449521042,-0.463155767,-0.466823839,-0.46401586,-0.385672709,1,0.139303757,-0.090618731,0.240307178,0.230280583,0.017769818,-0.073047905,-0.358367624,-0.346352422,-0.460381183,-0.435040034,-0.329218338,-0.474348304,-0.567912624,-0.286167184,-0.050177879,-0.625739689,-0.093818457,-0.323566601,0.004031749,-0.482418212
Costs_co,-0.525289003,-0.410908387,-0.307002542,-0.555105481,-0.277144882,-0.220963186,-0.427056532,-0.466513945,-0.607666594,-0.381511293,-0.253631309,0.139303757,1,-0.497552415,0.479703666,0.516085203,-0.146312986,-0.341363619,-0.380773691,-0.029445374,-0.529717407,0.01757005,-0.618549338,-0.576253386,-0.374133732,-0.238578191,0.48477577,-0.258340331,-0.085861463,-0.223747422,-0.14594144,-0.132889254
Popularity_co,0.380143714,0.602768637,0.260654518,0.461935981,0.140938786,0.247418477,0.339126182,0.375006613,0.467261518,0.421345121,0.407068415,-0.090618731,-0.497552415,1,-0.460774474,-0.314810757,0.298532766,0.402687881,0.573991328,0.077190794,0.415008828,0.082208919,0.503337031,0.594889219,0.342180715,0.397329187,-0.214778296,0.348398746,0.267061628,0.011370336,0.083450013,0.082632243
Housing_city,-0.582689733,-0.530287873,-0.430760509,-0.46936861,-0.427750162,-0.436602108,-0.59649285,-0.509424038,-0.486238535,-0.325475728,-0.280577579,0.240307178,0.479703666,-0.460774474,1,0.839877604,-0.153689739,-0.400608957,-0.289186029,0.219682755,-0.434054812,-0.267053881,-0.444889356,-0.513123549,-0.48888828,-0.591681955,0.006504101,-0.262505233,0.176588457,-0.192488418,-0.132395334,-0.055388847
Cost_city,-0.620571378,-0.442783629,-0.474682225,-0.511788988,-0.434584754,-0.403452449,-0.502921991,-0.540856689,-0.495541637,-0.378317695,-0.355707796,0.230280583,0.516085203,-0.314810757,0.839877604,1,0.097264513,-0.195246154,-0.193079357,0.308246685,-0.449729707,-0.285996565,-0.4993225,-0.432744395,-0.473102261,-0.445059255,0.053817498,-0.21600049,0.170653835,-0.309657247,-0.08098363,-0.12053816
Startups_city,-0.002448765,0.296512751,-0.046590411,0.046353044,-0.00602245,0.083054781,0.101121555,0.093519103,0.242199776,0.07579126,0.152097757,0.017769818,-0.146312986,0.298532766,-0.153689739,0.097264513,1,0.710923192,0.33852395,0.138896389,0.243094478,0.072656273,0.130732638,0.37260964,0.177321947,0.268228909,-0.01851676,0.270466667,0.274212287,-0.193396464,0.202491805,0.098904555
Venture.Capital_city,0.170233905,0.358205287,0.099072539,0.189327506,0.262773685,0.264947102,0.33719978,0.319646104,0.383785499,0.158456453,0.306462861,-0.073047905,-0.341363619,0.402687881,-0.400608957,-0.195246154,0.710923192,1,0.406366005,0.097479606,0.298171082,0.116733159,0.243530474,0.555467296,0.293708616,0.453915266,-0.105957707,0.351249497,0.103597011,-0.183636887,0.187596057,0.107536047
Travel_city,0.244281154,0.512309097,0.189074155,0.34690827,-0.014439972,0.0258831,0.319047558,0.321257877,0.407700542,0.514891029,0.420988696,-0.358367624,-0.380773691,0.573991328,-0.289186029,-0.193079357,0.33852395,0.406366005,1,0.269098047,0.410855764,0.305803489,0.392995959,0.613265032,0.360863139,0.233445621,-0.286351755,0.436898907,0.34187505,-0.027591306,0.165957022,0.414192966
Commute_city,0.163021886,0.373243995,0.179982657,0.304453707,-0.170704037,-0.141347891,0.140603766,0.292872267,0.423669902,0.446618366,0.298856231,-0.346352422,-0.029445374,0.077190794,0.219682755,0.308246685,0.138896389,0.097479606,0.269098047,1,0.36308037,0.240657985,0.313561453,0.39725118,0.327460459,-0.061701217,0.004320973,0.448324032,0.230237978,0.193060567,0.108175496,0.323821745
Business.Freedom_city,0.669041939,0.786200891,0.480099639,0.691349167,0.272865847,0.148033186,0.633230334,0.739090347,0.883357153,0.717105833,0.608938828,-0.460381183,-0.529717407,0.415008828,-0.434054812,-0.449729707,0.243094478,0.298171082,0.410855764,0.36308037,1,0.474667873,0.738916461,0.741462926,0.748967564,0.416994293,-0.009631291,0.594583,0.138252454,0.385457915,0.179638975,0.3401837
Safety_city,0.237022765,0.420165976,0.189399067,0.409792113,0.089223007,0.056093784,0.369674455,0.435512515,0.41131911,0.524476268,0.601943702,-0.435040034,0.01757005,0.082208919,-0.267053881,-0.285996565,0.072656273,0.116733159,0.305803489,0.240657985,0.474667873,1,0.373227532,0.431427096,0.526367601,0.257872744,0.244147427,0.399703884,0.048326497,0.404431718,0.11623955,0.304471746
Healthcare_city,0.730334377,0.79043698,0.598288796,0.905180403,0.165999545,0.075661774,0.421300808,0.696692519,0.803745472,0.825897704,0.557821019,-0.329218338,-0.618549338,0.503337031,-0.444889356,-0.4993225,0.130732638,0.243530474,0.392995959,0.313561453,0.738916461,0.373227532,1,0.741150689,0.674706102,0.197401843,-0.127627043,0.496443448,0.299619236,0.502591956,0.089175919,0.26563089
Education_city,0.598456033,0.777790232,0.528336978,0.715963039,0.239280289,0.136018806,0.557873281,0.744145721,0.79554406,0.728685205,0.592376607,-0.474348304,-0.576253386,0.594889219,-0.513123549,-0.432744395,0.37260964,0.555467296,0.613265032,0.39725118,0.741462926,0.431427096,0.741150689,1,0.720206753,0.438417324,-0.156367201,0.677246901,0.263344968,0.274167355,0.177989823,0.474550089
Environment_city,0.705815199,0.748954151,0.667040894,0.625256835,0.309458675,0.22457764,0.601857119,0.746015962,0.811213341,0.724283951,0.554934411,-0.567912624,-0.374133732,0.342180715,-0.48888828,-0.473102261,0.177321947,0.293708616,0.360863139,0.327460459,0.748967564,0.526367601,0.674706102,0.720206753,1,0.349355226,-0.022571241,0.64180034,0.050366099,0.515011647,0.221581437,0.513707266
Economy_city,0.392897046,0.452418617,0.177127289,0.216866792,0.541172687,0.389394863,0.574311623,0.499858019,0.421772399,0.143306652,0.387683626,-0.286167184,-0.238578191,0.397329187,-0.591681955,-0.445059255,0.268228909,0.453915266,0.233445621,-0.061701217,0.416994293,0.257872744,0.197401843,0.438417324,0.349355226,1,0.142015911,0.318087815,-0.188136679,-0.001544119,0.023783159,0.00953795
Taxation_city,-0.043210942,0.042600123,0.017871559,-0.07722248,-0.005523626,0.096386494,-0.056915327,0.111042288,-0.067240537,-0.067521661,0.096562975,-0.050177879,0.48477577,-0.214778296,0.006504101,0.053817498,-0.01851676,-0.105957707,-0.286351755,0.004320973,-0.009631291,0.244147427,-0.127627043,-0.156367201,-0.022571241,0.142015911,1,0.027048995,-0.085690655,-0.030298074,-0.071587915,-0.082731246
Internet_city,0.460177333,0.62451891,0.465784502,0.456391546,0.192032185,0.096365681,0.374363363,0.615978544,0.628225741,0.591520078,0.490326408,-0.625739689,-0.258340331,0.348398746,-0.262505233,-0.21600049,0.270466667,0.351249497,0.436898907,0.448324032,0.594583,0.399703884,0.496443448,0.677246901,0.64180034,0.318087815,0.027048995,1,0.225723743,0.275932953,0.066893665,0.526467116
Leisure.Culture_city,0.081081685,0.345046535,0.200968237,0.328307199,-0.237110906,-0.247862856,-0.166547959,0.091445874,0.110607448,0.368573809,0.217465785,-0.093818457,-0.085861463,0.267061628,0.176588457,0.170653835,0.274212287,0.103597011,0.34187505,0.230237978,0.138252454,0.048326497,0.299619236,0.263344968,0.050366099,-0.188136679,-0.085690655,0.225723743,1,0.072729288,0.223278215,0.149577985
Tolerance_city,0.582559579,0.342729474,0.518606503,0.564271856,0.263232508,0.00100773,0.296078242,0.442948812,0.463248684,0.539541027,0.346703732,-0.323566601,-0.223747422,0.011370336,-0.192488418,-0.309657247,-0.193396464,-0.183636887,-0.027591306,0.193060567,0.385457915,0.404431718,0.502591956,0.274167355,0.515011647,-0.001544119,-0.030298074,0.275932953,0.072729288,1,0.043026919,0.282434415
Outdoors_city,0.022997995,0.153144569,0.055132036,0.107495974,-0.109189219,0.097616961,0.073187731,0.124757752,0.162402777,0.195933688,0.173848822,0.004031749,-0.14594144,0.083450013,-0.132395334,-0.08098363,0.202491805,0.187596057,0.165957022,0.108175496,0.179638975,0.11623955,0.089175919,0.177989823,0.221581437,0.023783159,-0.071587915,0.066893665,0.223278215,0.043026919,1,0.094751259
