country,suicideRank,total,male,female,totalNumber
lithuania,1,31.9,58.1,9.5,894
russia,2,31,55.9,9.4,45178
guyana,3,29.2,43.7,14.4,227
south korea,4,26.9,38.4,15.4,13765
belarus,5,26.2,46.9,8.2,2477
suriname,6,22.8,34.7,10.9,131
kazakhstan,7,22.5,38.3,7.6,4122
ukraine,8,22.4,41.1,6.3,9911
latvia,9,21.2,37.6,7.3,409
lesotho,10,21.2,17.8,24.4,447
belgium,11,20.7,27.8,13.8,2377
hungary,12,19.1,29.7,9.6,1854
slovenia,13,18.6,30.4,6.9,386
japan,14,18.5,26,11.4,23532
uruguay,15,18.4,29.2,8.3,635
estonia,16,17.8,30.6,6.6,235
france,17,17.7,23.9,11.7,11503
switzerland,18,17.2,22,12.4,1466
croatia,19,16.5,25.6,7.9,686
equatorial guinea,20,16.4,23.5,7.7,215
india,21,16.3,17.8,14.7,220481
poland,22,16.2,28.9,4.3,6143
finland,23,15.9,23.9,8.1,878
moldova,24,15.9,27.9,4.7,
austria,25,15.6,23.9,7.7,1387
serbia,26,15.6,23.5,8.1,1373
united states,27,15.3,23.6,7.2,
sweden,28,14.8,19.1,10.5,1476
sri lanka,29,14.6,23.5,6.4,3099
Ivory Coast,30,14.5,20.6,8.3,
kiribati,31,14.4,24.1,5,17
thailand,32,14.4,23.4,5.9,9998
iceland,33,14,22.3,5.6,47
portugal,34,14,22.2,6.5,1436
cuba,35,13.9,22.1,5.8,1576
el salvador,36,13.7,24.2,4.5,880
germany,37,13.6,19.7,7.7,11305
trinidad and tobago,38,13.6,23,4.5,189
luxembourg,39,13.5,18.6,8.3,82
Swaziland,40,13.3,19.5,7.5,
australia,41,13.2,19.5,7,3287
czech republic,42,13.1,21.4,5.1,
mongolia,43,13,22.6,3.5,412
denmark,44,12.8,17.3,8.2,736
slovakia,45,12.8,22.7,3.5,698
netherlands,46,12.6,16.2,9,2150
canada,47,12.5,18.1,7,4634
bolivia,48,12.2,15.8,8.6,
cameroon,49,12.2,17.1,7.4,3076
nicaragua,50,12.2,19.3,5.3,789
norway,51,12.2,15.9,8.4,651
new zealand,52,12.1,17.9,6.6,574
haiti,53,11.7,17,6.5,1301
south africa,54,11.6,18.7,4.7,6704
bulgaria,55,11.5,18.2,5.1,811
ireland,56,11.5,18.5,4.6,554
bhutan,57,11.4,14,8.5,86
cape verde,58,11.3,16.5,6.1,
north korea,59,11.2,14.1,8.5,2862
micronesia,60,11.1,15.8,6.3,
zimbabwe,61,10.7,15.7,6,1545
chile,62,10.6,17.2,4,1985
romania,63,10.4,17.9,3.3,2029
montenegro,64,10.3,15.4,5.3,65
benin,65,9.9,13.9,5.9,1137
dominican republic,66,9.9,16.8,3.1,1052
singapore,67,9.9,13.8,6.1,570
uganda,68,9.9,10.7,9.1,4230
china,69,9.7,9.1,10.3,138482
sierra leone,70,9.7,11.3,8.1,742
togo,71,9.6,12.8,6.4,757
nigeria,72,9.5,9.9,9.2,18608
paraguay,73,9.5,12.4,6.5,661
botswana,74,9.3,14.2,4.5,210
seychelles,75,9.3,16.4,2.4,9
argentina,76,9.2,15.1,3.5,4081
burundi,77,9.1,13.4,4.9,1017
united kingdom,78,8.9,13.5,4.4,
bosnia and herzegovina,79,8.8,14.1,3.6,293
chad,80,8.8,10.3,7.4,1362
nepal,81,8.8,9.7,7.9,2472
namibia,82,8.7,14.1,3.6,213
spain,83,8.7,13.1,4.5,4062
laos,84,8.6,11.4,5.7,
yemen,85,8.5,11.3,5.6,2422
kyrgyzstan,86,8.3,13.2,3.5,523
georgia,87,8.2,14.2,2.7,328
italy,88,8.2,12.1,4.5,4971
sudan,89,8.1,12.2,4,3386
costa rica,90,7.9,13.5,2.4,395
eritrea,91,7.9,12.3,3.6,273
macedonia,92,7.9,11.9,3.9,
mauritius,93,7.8,13.3,2.4,99
myanmar,94,7.8,5.9,9.5,4189
