"Country name","Region","happiness","gdp","social","life_expectancy","freedom","generosity","perceptions","Score_cat","Stability_co","Rights_co","Health_co","Safety_co","Climate_co","Costs_co","Popularity_co","Housing_city","Cost_city","Startups_city","Venture.Capital_city","Travel_city","Commute_city","Business.Freedom_city","Safety_city","Healthcare_city","Education_city","Environment_city","Economy_city","Taxation_city","Internet_city","Leisure.Culture_city","Tolerance_city","Outdoors_city"
"Finland","Western Europe",7.80870008468628,1.28518950939178,1.49952590465546,0.961271405220032,0.662316739559174,0.159670442342758,0.477857261896133,"High",8.6,10,8.9,9.4,1.5,4.2,4.3,5.902625,3.45325,3.1205,3.101,3.384625,6.2245,9.45066666666667,8.74925,8.171,5.4115,9.0651875,3.921,4.8785,5.82525,4.58625,7.968125,4.744625
"Denmark","Western Europe",7.64559984207153,1.32694852352142,1.50344920158386,0.979332566261292,0.665039896965027,0.242793396115303,0.495260328054428,"High",8.7,9.9,8.3,9.6,1.5,3.5,5,5.17925,3.7205,4.517,3.4895,4.918,6.303625,9.94,9.3845,8.34483333333333,5.33375,7.952625,4.8865,5.068,7.80625,5.125,9.417,4.4005
"Switzerland","Western Europe",7.55989980697632,1.39077425003052,1.47240340709686,1.04053318500519,0.628954470157623,0.269055753946304,0.407945901155472,"High",9.3,9.9,9.3,9.9,2.6,3.5,5.4,2.887125,1,4.35125,2.56725,6.3445,5.724625,8.888,8.698,7.49641666666667,6.11025,8.82475,6.552,6.4285,6.476625,4.669125,8.611875,4.85375
"Iceland","Western Europe",7.50449991226196,1.3265016078949,1.547567486763,1.00084340572357,0.661980748176575,0.362330228090286,0.144540771842003,"High",8.3,9.2,8.8,9.9,0.7,3.7,4.4,2.7715,1,3.168,2.875,1.135,5.475,9.36,8.658,8.079,4.057,8.62375,5.283,4.4655,6.742,5.0205,9.565,4.8035
"Norway","Western Europe",7.48799991607666,1.42420732975006,1.49517250061035,1.00807189941406,0.670200884342194,0.28798508644104,0.434100568294525,"High",8.9,10,9,9.9,1.6,3.9,5,4.49875,1.4215,3.708,2.4345,4.20975,5.831375,9.63533333333333,7.407,7.77833333333333,4.992,7.98175,7.0735,4.752,7.25375,5.19325,7.32225,5.2515
"Netherlands","Western Europe",7.44890022277832,1.33894634246826,1.46364593505859,0.975675344467163,0.613626480102539,0.33631756901741,0.368569761514664,"High",8.3,9.9,9.4,9.6,2.1,3.5,5.1,5.3737,4.628,4.7443,2.998,7.4771,5.8337,8.83666666666667,8.6597,8.28073333333333,5.093,7.97365,5.053,4.955,6.2448,5.8045,8.6219,4.7673
"Sweden","Western Europe",7.35349988937378,1.32223522663116,1.43334770202637,0.986470460891724,0.650297701358795,0.27282789349556,0.442066371440887,"High",8.6,10,8.7,9.6,1.8,4.2,5.4,6.50325,5.1045,3.61725,3.15925,4.84975,5.819,9.569,7.157625,8.12716666666667,5.135625,8.842125,5.6945,2.7495,6.97,4.143375,6.084625,4.26325
"New Zealand","North America and ANZ",7.29960012435913,1.24231791496277,1.48721837997437,1.00813829898834,0.646789908409119,0.325726211071014,0.461268275976181,"High",9.4,10,8.2,9.9,3.8,3,5.3,5.59616666666667,4.909,2.865,1.51433333333333,0.996833333333333,5.4675,10,7.60983333333333,8.18444444444444,4.85283333333333,9.04608333333333,5.5055,5.9315,5.98216666666667,4.07283333333333,7.97383333333333,6.176
"Austria","Western Europe",7.29419994354248,1.31728553771973,1.43744492530823,1.00093352794647,0.603368878364563,0.25550976395607,0.281256139278412,"High",8.2,9.2,9.7,9.8,2.3,3.3,6.3,6.511,4.9215,3.96175,1.8175,6.8005,6.293625,7.596,8.43475,8.04133333333333,4.59225,8.318,4.663,2.666,5.61625,6.473,8.72475,4.629
"Luxembourg","Western Europe",7.23750019073486,1.53667604923248,1.38752841949463,0.986442685127258,0.610137045383453,0.195953920483589,0.3670414686203,"High",9.4,9.8,8.8,10,2.5,4.3,5.4,2.453,3.411,3.3075,1.899,4.5805,5.8445,7.85666666666667,8.628,8.22033333333333,3.4795,8.57625,7.473,7.151,5.458,4.4955,8.8045,1.475
"Canada","North America and ANZ",7.23210000991821,1.30164766311646,1.43539190292358,1.02250194549561,0.644028127193451,0.281528919935226,0.351701855659485,"High",8.7,9.5,7.9,9.7,3.1,3.9,6,6.53436363636364,5.55018181818182,5.60277272727273,3.04518181818182,2.15245454545455,5.2005,8.966,7.58022727272727,7.88933333333333,5.96604545454545,7.87665909090909,5.8405,7.2745,5.03354545454545,4.96218181818182,8.03040909090909,4.75868181818182
"Australia","North America and ANZ",7.22279977798462,1.31039643287659,1.47714626789093,1.02260768413544,0.621877193450928,0.324973613023758,0.33599641919136,"High",9.2,9.5,8.7,10,9.1,2.8,5.8,4.7142,4.718,6.3074,4.0858,2.4906,4.8744,9.39966666666667,7.5275,8.07266666666666,5.8304,8.19985,6.0695,4.5885,4.7119,5.1077,7.363,5.9875
"United Kingdom","Western Europe",7.16450023651123,1.2730610370636,1.45784497261047,0.975700080394745,0.525168657302856,0.373433440923691,0.322601646184921,"High",7.6,9.2,8,9.7,0.7,3.9,6.1,5.42207692307692,5.33669230769231,4.53326923076923,3.28661538461538,6.40676923076923,5.40042307692308,8.992,7.90588461538462,8.34394871794872,5.69161538461539,6.84488461538462,5.438,5.9545,5.94219230769231,5.11853846153846,7.34853846153846,3.44057692307692
"Israel","Middle East and North Africa",7.12860012054443,1.21646368503571,1.40325677394867,1.00805294513702,0.42069947719574,0.266861796379089,0.09989845007658,"High",6.2,7.4,8.5,8.6,8.4,3.4,4.2,4.91,4.37,7.3265,9.16,3.345,4.99425,6.79,8.0065,8.338,3.7665,6.02675,5.0265,6.9175,2.566,5.3335,5.516,5.4125
"Costa Rica","Latin America and Caribbean",7.12139987945557,0.981107711791992,1.37485361099243,0.939635336399078,0.645017743110657,0.131266310811043,0.0963620916008949,"High",6.6,6.8,6.5,7.3,4.3,3.7,3.8,8.1645,6.728,3.822,0,1.1915,3.83425,5.94966666666667,6.709,7.43266666666667,1.2095,5.25625,4.0815,5.752,1.5155,6.8665,8.9385,2.7855
"Ireland","Western Europe",7.09369993209839,1.44688677787781,1.47059643268585,0.975670695304871,0.587779939174652,0.295426994562149,0.373433262109756,"High",8.3,8.9,8.2,9.5,0.3,3.9,5,4.7675,4.61133333333333,4.05883333333333,3.87666666666667,3.1615,5.54675,8.34566666666667,8.28366666666667,7.10222222222222,5.16433333333333,7.34433333333333,7.5145,6.255,8.375,3.59366666666667,8.21966666666667,3.29216666666667
